	id	videoID	feature	duration	label
10	12	472QFGi71kA	"[[ 0.00232903 -0.00768338 -0.00133378 ... -0.01966435  0.08149277
  -0.01918888]
 [-0.0024836  -0.01366319  0.0028492  ...  0.00703651  0.04681081
  -0.02293041]
 [-0.00311582 -0.01486849  0.01028083 ... -0.01230528  0.04733367
  -0.01873988]
 ...
 [-0.00739044 -0.02284563  0.0184445  ... -0.02600111  0.07714354
  -0.00715883]
 [ 0.0080986  -0.00425397 -0.00012662 ... -0.01536591  0.05583609
  -0.01172223]
 [-0.01620557 -0.01137374  0.02404419 ...  0.01841676  0.04841632
   0.00238786]]"	99.0656	-1
11	13	aICLJMyGvFY	"[[-0.01502056  0.00571242 -0.01156604 ...  0.00663401  0.07261743
   0.00925978]
 [-0.02938697 -0.00594589 -0.00830493 ...  0.00952019  0.00311526
   0.01113989]
 [-0.02643305 -0.00146464 -0.00787647 ... -0.00791471 -0.03746925
   0.00076967]
 ...
 [-0.02898929 -0.00809138 -0.02153268 ...  0.0118013  -0.02280805
   0.00622162]
 [-0.02995172 -0.0055906  -0.01134039 ... -0.0029285  -0.04203732
   0.00489628]
 [-0.03268449 -0.00851864 -0.01219456 ...  0.00381926 -0.05073274
   0.00205695]]"	924.757	0
12	14	8d7eFVTLlbU	"[[-0.01798248  0.04003988 -0.0048329  ...  0.01153136  0.02685514
  -0.02558679]
 [-0.01477453  0.03828727 -0.00203255 ...  0.02159546  0.00262847
  -0.02648155]
 [-0.01371801  0.04108584 -0.00250004 ...  0.0172571   0.01727036
  -0.02915458]
 ...
 [ 0.00219642  0.0254454   0.00839168 ...  0.00633045 -0.05135349
  -0.00470971]
 [ 0.0108006   0.02457597  0.00580727 ...  0.01434299 -0.04631248
  -0.01360242]
 [ 0.00548323  0.02621576  0.0034507  ...  0.01330427 -0.04784068
  -0.00739335]]"	31.8318	-1
13	15	8d7eFVTLlbU	"[[ 0.00772406 -0.00718607  0.0081446  ... -0.00074201 -0.00431863
   0.00181898]
 [ 0.01088231  0.00055905  0.00424844 ...  0.0036574   0.01765687
  -0.00102462]
 [ 0.00507237 -0.01126205  0.00732211 ...  0.00861005 -0.00102932
  -0.00010714]
 ...
 [ 0.00364265 -0.01689965  0.0122895  ...  0.00673678  0.01766346
   0.00195157]
 [-0.00380608 -0.01681706  0.00544175 ... -0.00596504 -0.02127434
  -0.00547431]
 [ 0.00989109 -0.02271403  0.00902336 ... -0.00420212  0.03937807
   0.00041868]]"	45.7123	-1
14	16	8d7eFVTLlbU	"[[ 0.02561192 -0.01322919 -0.00531066 ...  0.02801122  0.05644011
  -0.00327869]
 [ 0.02066566 -0.01185183 -0.01237329 ...  0.02513784  0.0618969
   0.00280662]
 [ 0.01606848 -0.01372207 -0.00567921 ...  0.03219551  0.02121347
  -0.0015152 ]
 ...
 [ 0.00927344 -0.01167039 -0.0006556  ...  0.02120136  0.00508996
  -0.0058353 ]
 [ 0.00206965 -0.01164331 -0.00280042 ...  0.00680106  0.05074291
  -0.00497021]
 [ 0.00058547 -0.00454476 -0.00176378 ...  0.00544356  0.05944313
  -0.00211959]]"	37.8044	-1
15	18	8d7eFVTLlbU	"[[-0.01962017 -0.00590921 -0.00157918 ...  0.00784544  0.04479115
   0.00854287]
 [-0.01644306 -0.00796937 -0.00569535 ...  0.00956428  0.03636572
   0.01058949]
 [-0.01733137 -0.00517203 -0.00449291 ...  0.0114409   0.05367258
   0.00822497]
 ...
 [-0.01948377 -0.00398099 -0.00561496 ...  0.00404756  0.01699759
   0.0110793 ]
 [-0.01796369 -0.00596696 -0.00458444 ...  0.00663363  0.00258421
   0.00497704]
 [-0.02518107 -0.00394187  0.00299801 ...  0.00585375  0.03310766
   0.01131593]]"	35.8358	-1
16	19	8d7eFVTLlbU	"[[-1.2428710e-02 -3.4684436e-03  1.3173961e-02 ...  1.5613669e-02
   1.7055742e-02  1.1099265e-02]
 [-1.8697822e-02 -4.8539713e-03  1.8136984e-02 ...  2.6010009e-02
  -6.8630201e-05  2.5577408e-03]
 [-6.0302075e-03 -7.2882222e-03  1.2947456e-02 ...  1.8795725e-02
   5.1058265e-03  5.9084818e-03]
 ...
 [-4.8750481e-03 -1.0719830e-02  1.2730889e-02 ...  1.5397625e-02
   2.6925273e-02  2.6889222e-03]
 [ 1.0256389e-03 -1.5675845e-02  5.6817774e-03 ...  1.8669803e-02
   9.8049073e-03  6.6247880e-03]
 [-5.1328070e-03 -5.3959745e-03  1.0834171e-02 ...  1.2998387e-02
   2.8125072e-02  8.5404277e-04]]"	33.8338	-1
17	20	8d7eFVTLlbU	"[[-3.7898642e-03 -3.0757322e-03  6.8345478e-05 ...  4.7906698e-04
  -5.8573246e-02  3.6701353e-03]
 [-4.9301302e-03 -2.2988722e-03  4.9062176e-03 ...  5.4210108e-05
  -4.4044804e-02  3.9475509e-03]
 [-4.8243193e-04 -3.9144922e-03 -1.5343787e-04 ...  5.1958971e-03
  -5.2300617e-02  5.2931667e-03]
 ...
 [ 1.3109586e-03 -4.8820614e-03 -5.9073500e-04 ... -7.6145417e-04
  -2.3202520e-02  5.0994251e-03]
 [ 2.3518021e-03  5.1968629e-03 -5.9445447e-04 ...  2.0895773e-04
  -4.4144802e-02  5.5345767e-03]
 [ 2.2550076e-03  5.5240928e-03  3.1623832e-04 ...  3.4099719e-03
  -2.6717601e-02  6.1015496e-03]]"	59.3593	-1
18	21	8d7eFVTLlbU	"[[-0.02961995 -0.00972665 -0.01342311 ...  0.00792234 -0.03596079
   0.00706693]
 [-0.02539924 -0.00572146 -0.00923558 ...  0.0004126  -0.04247288
   0.00290935]
 [-0.02570796 -0.00605098 -0.01645521 ...  0.01071765 -0.03859821
   0.00267762]
 ...
 [-0.01971186  0.00436082  0.00165225 ...  0.0138687  -0.01964617
  -0.01145102]
 [-0.03174357 -0.00620035 -0.01336413 ...  0.0103158  -0.00911708
   0.00082364]
 [-0.03122289 -0.00815953 -0.02723146 ...  0.01244627  0.010131
   0.00418796]]"	1287.85	0
19	23	8d7eFVTLlbU	"[[-0.02554102 -0.00796697 -0.00785672 ... -0.01062457 -0.00886901
   0.00414683]
 [-0.02439748 -0.00587104 -0.01038643 ... -0.00528413  0.01522757
   0.00482709]
 [-0.02504624 -0.00678514 -0.00955028 ... -0.01001884  0.01562854
   0.00544521]
 ...
 [-0.02246844 -0.00559862 -0.00751327 ... -0.00929904  0.00644738
   0.00644664]
 [-0.02531395 -0.01040901 -0.0109573  ... -0.00510654  0.01870001
   0.0039533 ]
 [-0.02500288 -0.00647064 -0.01063342 ... -0.00172415  0.00370423
   0.00517244]]"	47.7811	-1
